Price,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI_14,BB_High,BB_Low,Return_1D,Return_5D,Return_10D
Ticker,SPY,SPY,SPY,SPY,SPY,SPY,,,,,,,,
Date,,,,,,,,,,,,,,
2010-03-16,88.66183471679688,116.41000366210938,116.5199966430664,115.48999786376953,115.80999755859375,168673000,112.76499977111817,111.58879989624023,75.05467487301848,116.879444706153,108.65055483608334,0.00796610802110398,0.017036559437656473,0.0375223424988973
2010-03-17,89.1873550415039,117.0999984741211,117.4800033569336,116.41999816894531,116.76000213623047,177468100,113.1069995880127,111.66419982910156,77.1952835575189,117.46179484671993,108.75220432930547,0.005927281078132118,0.01852654806299525,0.042742611682307974
2010-03-18,89.14167785644531,117.04000091552734,117.2699966430664,116.56999969482422,117.11000061035156,196509100,113.41349945068359,111.73239990234374,76.57991481895185,117.965072228389,108.86192667297817,-0.0005123617367681632,0.013772230483453107,0.03906251375817438
2010-03-19,88.69042205810547,115.97000122070312,117.29000091552734,115.5199966430664,115.97000122070312,226641100,113.65499954223633,111.77759994506836,66.41212016600082,118.21097422701963,109.09902485745302,-0.009142170936896066,0.004417132689021885,0.015054715279677167
2010-03-22,89.16459655761719,116.58999633789062,116.80000305175781,115.23999786376953,115.30999755859375,184477800,113.92649917602539,111.82559982299804,68.98201181280189,118.50251244890016,109.35048590315061,0.005346168066408641,0.009524621131421496,0.020302789559633716
2010-03-23,89.79169464111328,117.41000366210938,117.51000213623047,116.37999725341797,116.76000213623047,182941600,114.30649948120117,111.88239990234375,72.03016172806964,118.71105849811096,109.90194046429139,0.007033256282488187,0.008590327021229083,0.025773236075771644
2010-03-24,89.35579681396484,116.83999633789062,117.43000030517578,115.58000183105469,116.97000122070312,196072600,114.6074993133545,111.9245997619629,67.09437700702753,118.83719453288342,110.37780409382557,-0.004854844616640652,-0.002220342780686946,0.016265069995065495
2010-03-25,89.21046447753906,116.6500015258789,118.16999816894531,116.51000213623047,117.62999725341797,223396300,114.90649948120117,111.98439971923828,65.48365453565424,118.81371041149468,110.99928855090765,-0.0016261110746894625,-0.003332188880705078,0.010394149929468632
2010-03-26,89.15694427490234,116.58000183105469,117.41999816894531,116.12000274658203,116.87000274658203,205808500,115.19849967956543,112.02359970092773,64.86579546200726,118.66453713865427,111.73246222047659,-0.0006000831025165798,0.005259986237222458,0.009700352983396554
2010-03-29,89.72286987304688,117.31999969482422,117.52999877929688,116.69000244140625,117.16999816894531,134513500,115.46999969482422,112.0713996887207,68.2737533478346,118.69947089982627,112.24052848982218,0.006347554058559135,0.0062612863870239455,0.01584554389907722
2010-03-30,89.7840576171875,117.4000015258789,117.83000183105469,116.91000366210938,117.45999908447266,145772500,115.72999992370606,112.1465997314453,68.62804411449184,118.69065552828201,112.76934431913011,0.0006819112790896753,-8.518981277993998e-05,0.008504405400098447
2010-03-31,89.47817993164062,117.0,117.5199966430664,116.61000061035156,116.94999694824219,161078700,115.96499977111816,112.18539978027344,64.7355295424799,118.5172901594193,113.41270938281701,-0.0034071679785347975,0.0013694254289999819,-0.0008539579455518753
2010-04-01,90.08999633789062,117.80000305175781,118.25,117.0999984741211,117.80000305175781,161215200,116.22299995422364,112.26359985351563,68.57458452862035,118.39331139475964,114.05268851368764,0.00683763292100692,0.009858564173475637,0.006493524694851871
2010-04-05,90.82414245605469,118.76000213623047,118.83999633789062,117.91999816894531,118.25,105847600,116.44850006103516,112.40479995727539,72.45042370521776,118.68804930288309,114.20895081918724,0.008149397789496415,0.018699607745203073,0.02405795366180663
2010-04-06,91.03827667236328,119.04000091552734,119.25,118.29000091552734,118.41999816894531,110384200,116.6870002746582,112.60139999389648,73.47787909127766,118.96341221154815,114.41058833776826,0.002357685872855564,0.014660767347231873,0.021013848997270212
